entity_name,category,txs_sent,usd_sent,txs_recieved,usd_recieved,Sent_Risk_Percentage,Recieved_Risk_Percentage
7money,criminal,20,5494.2,0.0,0.0,0.0,
7money,dark market,964,366379.61,582.0,248918.87,0.0,0.0
7money,gambling,26,13584.43,18.0,4069.25,0.0,0.0
7money,high risk exchange,696,269214.11,78.0,35776.69,0.0,0.0
7money,hyip,40,15739.77,87.0,37640.97,0.0,0.0
7money,mixer,78,63937.97,3.0,293.11,0.0,0.01
AAX,criminal,64,4292.35,51.0,2586.09,0.01,0.02
AAX,dark market,96,3966.74,833.0,639024.18,0.02,0.0
AAX,gambling,176,34123.24,323.0,139521.03,0.01,0.0
AAX,high risk exchange,960,547052.3,867.0,3328359.32,0.0,0.0
AAX,hyip,32,72306.19,612.0,662642.72,0.0,0.0
AEX,high risk exchange,96,365954.37,34.0,5186.84,0.0,0.01
ARI10,criminal,6,602.02,0.0,0.0,0.01,
ARI10,dark market,15,2868.65,0.0,0.0,0.01,
ARI10,gambling,543,211927.74,152.0,500968.85,0.0,0.0
ARI10,high risk exchange,19,12284.73,4.0,3895.68,0.0,0.0
ARI10,hyip,16,3176.65,10.0,1069.41,0.01,0.01
ARI10,mixer,4,419.65,0.0,0.0,0.01,
Abcobmen,dark market,160,32728.84,55.0,22828.39,0.0,0.0
Abcobmen,high risk exchange,30,14268.02,0.0,0.0,0.0,
Abcobmen,hyip,70,12178.88,0.0,0.0,0.01,
AbsoluteFXOptions,hyip,0,0.0,2457.0,1736432.92,,0.0
Advcash,criminal,55,18331.18,348.0,17184.04,0.0,0.02
Advcash,dark market,220,120359.9,2256.0,3724475.23,0.0,0.0
Advcash,gambling,121,77881.01,600.0,416817.85,0.0,0.0
Advcash,high risk exchange,781,1039044.4,2052.0,3638926.87,0.0,0.0
Advcash,hyip,220,151795.6,1608.0,875338.14,0.0,0.0
Advcash,mixer,22,26713.27,24.0,72516.42,0.0,0.0
Alameda,high risk exchange,170,6108067.77,0.0,0.0,0.0,
Alfacash,dark market,4,209.58,5.0,7124.36,0.02,0.0
Alfacash,high risk exchange,20,78409.46,15.0,1088.21,0.0,0.01
Alfacash,hyip,4,644.62,0.0,0.0,0.01,
Alfacash,mixer,4,21149.04,5.0,4479.02,0.0,0.0
Alfacoins,gambling,6,2223.02,15.0,93.07,0.0,0.16
Alfacoins,high risk exchange,34,279616.16,33.0,1446.75,0.0,0.02
Alfacoins,hyip,62,182690.19,798.0,58745.11,0.0,0.01
Alfacoins,ransomware,2,91.54,0.0,0.0,0.02,
AltCoinTrader,criminal,684,72230.38,209.0,69384.66,0.01,0.0
AltCoinTrader,dark market,54,294.72,19.0,2170.6,0.18,0.01
AltCoinTrader,gambling,198,42859.32,836.0,179046.66,0.0,0.0
AltCoinTrader,high risk exchange,486,116722.0,551.0,206664.49,0.0,0.0
AltCoinTrader,hyip,198,164170.85,4446.0,3387455.38,0.0,0.0
AltCoinTrader,mixer,18,10284.04,0.0,0.0,0.0,
AnyCash,criminal,16,5470.04,15.0,14632.15,0.0,0.0
AnyCash,dark market,354,985967.59,2859.0,7875976.48,0.0,0.0
AnyCash,gambling,20,10798.72,75.0,60549.88,0.0,0.0
AnyCash,high risk exchange,1276,12693259.7,2157.0,11454625.79,0.0,0.0
AnyCash,hyip,8,13260.74,963.0,496866.91,0.0,0.0
AnyCash,ransomware,2,421.94,9.0,5835.38,0.0,0.0
ApolloX,gambling,24,1131.12,0.0,0.0,0.02,
ApolloX,high risk exchange,6,1097.67,0.0,0.0,0.01,
ArgenBTC,criminal,120,11868.23,0.0,0.0,0.01,
ArgenBTC,dark market,72,14112.13,0.0,0.0,0.01,
ArgenBTC,gambling,3636,199951.19,0.0,0.0,0.02,
ArgenBTC,high risk exchange,312,50375.96,0.0,0.0,0.01,
ArgenBTC,hyip,216,45891.43,0.0,0.0,0.0,
Arzjoo,criminal,1,44.54,0.0,0.0,0.02,
Arzjoo,gambling,13,5421.33,8.0,5227.73,0.0,0.0
Arzjoo,high risk exchange,2,12643.89,10.0,11481.13,0.0,0.0
Arzjoo,hyip,2,11513.05,0.0,0.0,0.0,
AscendEx,criminal,18,50783.5,19.0,1864.44,0.0,0.01
AscendEx,gambling,1098,2535089.17,1216.0,5189917.19,0.0,0.0
AscendEx,high risk exchange,2898,7167339.4,1178.0,4577605.55,0.0,0.0
AscendEx,hyip,72,60497.65,2204.0,2207443.9,0.0,0.0
AtomicWallet,criminal,340,36190.66,84.0,6525.3,0.01,0.01
AtomicWallet,gambling,140,12120.62,126.0,11754.0,0.01,0.01
AtomicWallet,high risk exchange,720,52874.83,651.0,34304.08,0.01,0.02
AustecInvestment,hyip,0,0.0,0.0,0.0,,
B2BX,criminal,19,190.52,20.0,154.83,0.1,0.13
B2BX,dark market,76,2741.24,1680.0,332308.72,0.03,0.01
B2BX,gambling,152,776617.9,480.0,805234.28,0.0,0.0
B2BX,high risk exchange,437,270596.79,3300.0,960846.16,0.0,0.0
B2BX,hyip,57,32055.87,2000.0,469778.72,0.0,0.0
BC.Game,criminal,26,8761.72,135.0,2150046.84,0.0,0.0
BC.Game,dark market,66,3905.01,69.0,13052.1,0.02,0.01
BC.Game,gambling,1834,1355760.98,3615.0,1428376.44,0.0,0.0
BC.Game,high risk exchange,688,188111.87,129.0,8986.27,0.0,0.01
BC.Game,hyip,494,278320.77,5562.0,578280.31,0.0,0.01
BC.Game,malware,2,8395.48,0.0,0.0,0.0,
BC.Game,mixer,8,25739.53,3.0,113.89,0.0,0.03
BC.Game,ransomware,2,629.27,0.0,0.0,0.0,
BITPoint,criminal,105,63003.96,0.0,0.0,0.0,
BITPoint,dark market,84,19954.65,0.0,0.0,0.0,
BITPoint,gambling,5460,5588663.53,1056.0,1575638.99,0.0,0.0
BITPoint,high risk exchange,336,1133447.65,132.0,1650008.11,0.0,0.0
BITPoint,hyip,42,33743.49,0.0,0.0,0.0,
BKEX,criminal,72,7110.37,0.0,0.0,0.01,
BKEX,dark market,90,11318.33,0.0,0.0,0.01,
BKEX,gambling,54,74594.67,19.0,9467.81,0.0,0.0
BKEX,high risk exchange,18,3944.06,95.0,933004.87,0.0,0.0
BTC-Alpha,high risk exchange,36,9216.19,0.0,0.0,0.0,
