entity_name,category,category_uuid,usd,btc,txs,usd_in,btc_in,txs_in
1BTCXE,UNKNOWN,,96897.56,2.224,16,96897.56,2.224,16
24PayBank,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,84.28,0.00173088,18,84.28,0.00173088,18
7money,atm,f88c4acb-a9b6-11ea-b6eb-0adaa880d7fe,2408.8,0.1036088,4,2408.8,0.1036088,4
7money,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,5494.2,0.1342594,20,5494.2,0.1342594,20
7money,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,366379.61,8.2396882,964,366379.61,8.2396882,964
7money,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,2450989.43,75.96522464,2902,567623118.98,25504.33201776,24756
7money,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,13584.43,0.535437,26,13584.43,0.535437,26
7money,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,269214.11,7.6064772,696,269214.11,7.6064772,696
7money,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,15739.77,0.59933888,40,15739.77,0.59933888,40
7money,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,6822.89,0.2341446,6,6822.89,0.2341446,6
7money,mixer,f88c486d-a9b6-11ea-b6eb-0adaa880d7fe,63937.97,1.64846212,78,63937.97,1.64846212,78
7money,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,242157.77,8.1835322,150,242157.77,8.1835322,150
7money,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,127465.9,4.385946,246,127465.9,4.385946,246
7money,UNKNOWN,,10036407.75,345.68123904,17138,10036407.75,345.68123904,17138
A-Ads,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,80.18,0.003806,2,80.18,0.003806,2
A-Ads,UNKNOWN,,21298.86,0.58390966,12,21298.86,0.58390966,12
AAFXTrading,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,26623.58,0.62854722,18
AAFXTrading,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,5299.62,0.10943334,54,5299.62,0.10943334,54
AAFXTrading,UNKNOWN,,5102855.08,122.39469936,144,5102855.08,122.39469936,144
AAX,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,4292.35,0.0750992,64,4292.35,0.0750992,64
AAX,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,3966.74,0.11642656,96,3966.74,0.11642656,96
AAX,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,715625955.85,26477.9694648,15088,82159407043.59,2477158.81216128,79984
AAX,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,34123.24,1.00910608,176,34123.24,1.00910608,176
AAX,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,547052.3,14.56477648,960,547052.3,14.56477648,960
AAX,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,72306.19,3.58302288,32,72306.19,3.58302288,32
AAX,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,4562.75,0.1150784,16,4562.75,0.1150784,16
AAX,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,1130448.1,34.59284128,1872,1130448.1,34.59284128,1872
AAX,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,164588.94,5.42895184,448,164588.94,5.42895184,448
AAX,UNKNOWN,,1141306245.03,34276.2444112,38544,1141306245.03,34276.2444112,38544
ABCC,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,121778.6,6.00606128,48,158482.23,7.02624992,144
ABCC,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,9269.74,0.24,144,9269.74,0.24,144
ABCC,UNKNOWN,,219934.81,10.08056176,224,219934.81,10.08056176,224
Abcobmen,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,32728.84,0.5218254,160,32728.84,0.5218254,160
Abcobmen,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,443473.09,6.8522359,40,1998862.96,31.3621581,830
Abcobmen,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,14268.02,0.2204176,30,14268.02,0.2204176,30
Abcobmen,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,12178.88,0.1918913,70,12178.88,0.1918913,70
Abcobmen,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,765.14,0.0118158,10,765.14,0.0118158,10
Abcobmen,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,22738.56,0.3522967,100,22738.56,0.3522967,100
Abcobmen,UNKNOWN,,468950.72,7.289067,500,468950.72,7.289067,500
Abit,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,948.01,0.016341,13
Abit,UNKNOWN,,6712.23,0.1157,13,6712.23,0.1157,13
Abra,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,134194.03,3.6414134,100,134194.03,3.6414134,100
Abra,UNKNOWN,,504.63,0.012284,20,504.63,0.012284,20
AbsoluteFXOptions,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,129597576.54,4356.019106,1602,129597576.54,4356.019106,1602
AbsoluteFXOptions,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,0,0,0,1181473.44,27.15961834,2056
AbsoluteFXOptions,UNKNOWN,,18661997.49,464.1398,470,18661997.49,464.1398,470
Advcash,criminal,f88c4f4c-a9b6-11ea-b6eb-0adaa880d7fe,18331.18,0.369864,55,18331.18,0.369864,55
Advcash,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,120359.9,2.120569,220,120359.9,2.120569,220
Advcash,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,1340130475.62,39322.88527684,43846,1340130475.62,39322.88527684,43846
Advcash,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,77881.01,2.74635504,121,77881.01,2.74635504,121
Advcash,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,1039044.4,20.86489251,781,1039044.4,20.86489251,781
Advcash,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,151795.6,4.55993659,220,151795.6,4.55993659,220
Advcash,mixer,f88c486d-a9b6-11ea-b6eb-0adaa880d7fe,26713.27,0.668877,22,26713.27,0.668877,22
Advcash,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,11872803.85,333.14617215,38896,11872803.85,333.14617215,38896
Advcash,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,1331603.66,26.18022242,1540,130503536.49,4018.1711196,27126
Advcash,UNKNOWN,,146832477.98,4421.33580229,56397,146832477.98,4421.33580229,56397
AEX,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,6169782362.71,149223.55391168,20656,27118722988.4,819569.91314304,51696
AEX,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,365954.37,7.702464,96,365954.37,7.702464,96
AEX,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,352583.61,8.385968,32,352583.61,8.385968,32
