entity_name,category,category_uuid,usd,btc,txs,usd_in,btc_in,txs_in
1BTCXE,UNKNOWN,,2381.79,0.06836839,272,2381.79,0.06836839,272
7money,dark market,f88c4a3b-a9b6-11ea-b6eb-0adaa880d7fe,248918.87,5.56253592,582,248918.87,5.56253592,582
7money,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,884550.45,28.64513055,1230,848642744.77,38171.19532023,34011
7money,gambling,f88c473a-a9b6-11ea-b6eb-0adaa880d7fe,4069.25,0.151836,18,4069.25,0.151836,18
7money,high risk exchange,f88c5069-a9b6-11ea-b6eb-0adaa880d7fe,35776.69,1.24077498,78,35776.69,1.24077498,78
7money,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,37640.97,1.09388532,87,37640.97,1.09388532,87
7money,miner,f88c4bfd-a9b6-11ea-b6eb-0adaa880d7fe,73488.07,2.15931861,276,73488.07,2.15931861,276
7money,mixer,f88c486d-a9b6-11ea-b6eb-0adaa880d7fe,293.11,0.012,3,293.11,0.012,3
7money,services,f88c49ad-a9b6-11ea-b6eb-0adaa880d7fe,28668.63,0.8996457,39,28668.63,0.8996457,39
7money,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,34476.46,0.92340519,90,34476.46,0.92340519,90
7money,UNKNOWN,,18642326.85,622.16985771,31878,18642326.85,622.16985771,31878
A-Ads,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,556.47,0.01412307,9,556.47,0.01412307,9
A-Ads,wallet,f88c4daa-a9b6-11ea-b6eb-0adaa880d7fe,3134.81,0.156,3,3134.81,0.156,3
A-Ads,UNKNOWN,,21864.69,0.5979282,51,21864.69,0.5979282,51
AAFXTrading,exchange,f88c240d-a9b6-11ea-b6eb-0adaa880d7fe,3114320.64,71.75300125,437,3142423.31,72.41646776,456
AAFXTrading,hyip,f88c4b56-a9b6-11ea-b6eb-0adaa880d7fe,12907.06,0.54143616,19,12907.06,0.54143616,19
